label,run_arm,field,n,mean,ci_half
cardinality_bucket,fno,approx_forward_flops_per_sample,5,12356928.0,0.0
cardinality_bucket,fno,approx_total_flops,5,1840920305126.4,26390285303.09348
cardinality_bucket,fno,inference_batch_latency_ms,5,0.9021740759490058,0.32091885838292994
cardinality_bucket,fno,inference_sample_latency_ms,5,0.014096469936703215,0.00501435716223328
cardinality_bucket,fno,parameter_count,5,46420.0,0.0
cardinality_bucket,fno,peak_vram_bytes,5,3400136192.0,22519288.816494156
cardinality_bucket,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
cardinality_bucket,fno,train_total_time_s,5,12.305118048802251,3.689740177993637
cardinality_bucket,pretrained_lp,approx_forward_flops_per_sample,0,,
cardinality_bucket,pretrained_lp,approx_total_flops,0,,
cardinality_bucket,pretrained_lp,inference_batch_latency_ms,0,,
cardinality_bucket,pretrained_lp,inference_sample_latency_ms,0,,
cardinality_bucket,pretrained_lp,parameter_count,0,,
cardinality_bucket,pretrained_lp,peak_vram_bytes,5,0.0,0.0
cardinality_bucket,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
cardinality_bucket,pretrained_lp,train_total_time_s,5,63.911732812400444,9.53063377882576
cardinality_bucket,random_init_lp,approx_forward_flops_per_sample,0,,
cardinality_bucket,random_init_lp,approx_total_flops,0,,
cardinality_bucket,random_init_lp,inference_batch_latency_ms,0,,
cardinality_bucket,random_init_lp,inference_sample_latency_ms,0,,
cardinality_bucket,random_init_lp,parameter_count,0,,
cardinality_bucket,random_init_lp,peak_vram_bytes,5,0.0,0.0
cardinality_bucket,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
cardinality_bucket,random_init_lp,train_total_time_s,5,8.793272857385455,4.19364606186861
coordination,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
coordination,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
coordination,fno,inference_batch_latency_ms,5,0.9075433920370415,0.316551714568598
coordination,fno,inference_sample_latency_ms,5,0.014180365500578773,0.0049461205401343435
coordination,fno,parameter_count,5,46345.0,0.0
coordination,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
coordination,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
coordination,fno,train_total_time_s,5,11.317485035199207,2.3277557094029007
coordination,pretrained_lp,approx_forward_flops_per_sample,0,,
coordination,pretrained_lp,approx_total_flops,0,,
coordination,pretrained_lp,inference_batch_latency_ms,0,,
coordination,pretrained_lp,inference_sample_latency_ms,0,,
coordination,pretrained_lp,parameter_count,0,,
coordination,pretrained_lp,peak_vram_bytes,5,0.0,0.0
coordination,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
coordination,pretrained_lp,train_total_time_s,5,0.8115146560070571,0.19302542613398174
coordination,random_init_lp,approx_forward_flops_per_sample,0,,
coordination,random_init_lp,approx_total_flops,0,,
coordination,random_init_lp,inference_batch_latency_ms,0,,
coordination,random_init_lp,inference_sample_latency_ms,0,,
coordination,random_init_lp,parameter_count,0,,
coordination,random_init_lp,peak_vram_bytes,5,0.0,0.0
coordination,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
coordination,random_init_lp,train_total_time_s,5,1.1979669761960394,0.8564343392943091
current_burstiness,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
current_burstiness,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
current_burstiness,fno,inference_batch_latency_ms,5,0.9049604079918936,0.3195034335654548
current_burstiness,fno,inference_sample_latency_ms,5,0.014140006374873337,0.004992241149460231
current_burstiness,fno,parameter_count,5,46345.0,0.0
current_burstiness,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
current_burstiness,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
current_burstiness,fno,train_total_time_s,5,11.212540687789442,2.2594935826691276
current_burstiness,pretrained_lp,approx_forward_flops_per_sample,0,,
current_burstiness,pretrained_lp,approx_total_flops,0,,
current_burstiness,pretrained_lp,inference_batch_latency_ms,0,,
current_burstiness,pretrained_lp,inference_sample_latency_ms,0,,
current_burstiness,pretrained_lp,parameter_count,0,,
current_burstiness,pretrained_lp,peak_vram_bytes,5,0.0,0.0
current_burstiness,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
current_burstiness,pretrained_lp,train_total_time_s,5,5.138256857800298,2.176674910295768
current_burstiness,random_init_lp,approx_forward_flops_per_sample,0,,
current_burstiness,random_init_lp,approx_total_flops,0,,
current_burstiness,random_init_lp,inference_batch_latency_ms,0,,
current_burstiness,random_init_lp,inference_sample_latency_ms,0,,
current_burstiness,random_init_lp,parameter_count,0,,
current_burstiness,random_init_lp,peak_vram_bytes,5,0.0,0.0
current_burstiness,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
current_burstiness,random_init_lp,train_total_time_s,5,5.622918281203601,2.5064434609552646
current_sparsity,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
current_sparsity,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
current_sparsity,fno,inference_batch_latency_ms,5,0.911110203829594,0.32497568707733965
current_sparsity,fno,inference_sample_latency_ms,5,0.014236096934837406,0.005077745110583432
current_sparsity,fno,parameter_count,5,46345.0,0.0
current_sparsity,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
current_sparsity,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
current_sparsity,fno,train_total_time_s,5,13.681587087997467,5.091720908442182
current_sparsity,pretrained_lp,approx_forward_flops_per_sample,0,,
current_sparsity,pretrained_lp,approx_total_flops,0,,
current_sparsity,pretrained_lp,inference_batch_latency_ms,0,,
current_sparsity,pretrained_lp,inference_sample_latency_ms,0,,
current_sparsity,pretrained_lp,parameter_count,0,,
current_sparsity,pretrained_lp,peak_vram_bytes,5,0.0,0.0
current_sparsity,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
current_sparsity,pretrained_lp,train_total_time_s,5,0.7838652033940889,0.15366862934628245
current_sparsity,random_init_lp,approx_forward_flops_per_sample,0,,
current_sparsity,random_init_lp,approx_total_flops,0,,
current_sparsity,random_init_lp,inference_batch_latency_ms,0,,
current_sparsity,random_init_lp,inference_sample_latency_ms,0,,
current_sparsity,random_init_lp,parameter_count,0,,
current_sparsity,random_init_lp,peak_vram_bytes,5,0.0,0.0
current_sparsity,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
current_sparsity,random_init_lp,train_total_time_s,5,1.994602295605,2.5479660501352392
domain,fno,approx_forward_flops_per_sample,5,12356880.0,0.0
domain,fno,approx_total_flops,5,1472089942656.0,21435569100.211407
domain,fno,inference_batch_latency_ms,5,0.9068889678455889,0.3208962723273495
domain,fno,inference_sample_latency_ms,5,0.014170140122587327,0.005014004255114836
domain,fno,parameter_count,5,46395.0,0.0
domain,fno,peak_vram_bytes,5,2724039987.2,28019299.91873157
domain,fno,peak_vram_reserved_bytes,5,3626395238.4,25049953.844626173
domain,fno,train_total_time_s,5,10.257375282200519,3.552517339941107
domain,pretrained_lp,approx_forward_flops_per_sample,0,,
domain,pretrained_lp,approx_total_flops,0,,
domain,pretrained_lp,inference_batch_latency_ms,0,,
domain,pretrained_lp,inference_sample_latency_ms,0,,
domain,pretrained_lp,parameter_count,0,,
domain,pretrained_lp,peak_vram_bytes,5,0.0,0.0
domain,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
domain,pretrained_lp,train_total_time_s,5,21.47598846760811,12.609933039599996
domain,random_init_lp,approx_forward_flops_per_sample,0,,
domain,random_init_lp,approx_total_flops,0,,
domain,random_init_lp,inference_batch_latency_ms,0,,
domain,random_init_lp,inference_sample_latency_ms,0,,
domain,random_init_lp,parameter_count,0,,
domain,random_init_lp,peak_vram_bytes,5,0.0,0.0
domain,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
domain,random_init_lp,train_total_time_s,5,69.83988504360313,51.25851389514857
frequency_bucket,fno,approx_forward_flops_per_sample,5,12356880.0,0.0
frequency_bucket,fno,approx_total_flops,5,1840913154144.0,26390182791.069897
frequency_bucket,fno,inference_batch_latency_ms,5,0.9109672399936244,0.3135312430712781
frequency_bucket,fno,inference_sample_latency_ms,5,0.014233863124900381,0.0048989256729887205
frequency_bucket,fno,parameter_count,5,46395.0,0.0
frequency_bucket,fno,peak_vram_bytes,5,3400136192.0,22519288.816494156
frequency_bucket,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
frequency_bucket,fno,train_total_time_s,5,18.168285879597533,13.393648158420179
frequency_bucket,pretrained_lp,approx_forward_flops_per_sample,0,,
frequency_bucket,pretrained_lp,approx_total_flops,0,,
frequency_bucket,pretrained_lp,inference_batch_latency_ms,0,,
frequency_bucket,pretrained_lp,inference_sample_latency_ms,0,,
frequency_bucket,pretrained_lp,parameter_count,0,,
frequency_bucket,pretrained_lp,peak_vram_bytes,5,0.0,0.0
frequency_bucket,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
frequency_bucket,pretrained_lp,train_total_time_s,5,6.634248261799803,1.7452227447146251
frequency_bucket,random_init_lp,approx_forward_flops_per_sample,0,,
frequency_bucket,random_init_lp,approx_total_flops,0,,
frequency_bucket,random_init_lp,inference_batch_latency_ms,0,,
frequency_bucket,random_init_lp,inference_sample_latency_ms,0,,
frequency_bucket,random_init_lp,parameter_count,0,,
frequency_bucket,random_init_lp,peak_vram_bytes,5,0.0,0.0
frequency_bucket,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
frequency_bucket,random_init_lp,train_total_time_s,5,13.854153113195206,4.4763848308978185
future_burstiness,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
future_burstiness,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
future_burstiness,fno,inference_batch_latency_ms,5,0.906907559838146,0.32133633385728505
future_burstiness,fno,inference_sample_latency_ms,5,0.01417043062247103,0.005020880216520079
future_burstiness,fno,parameter_count,5,46345.0,0.0
future_burstiness,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
future_burstiness,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
future_burstiness,fno,train_total_time_s,5,10.993817572604167,1.9084715156911414
future_burstiness,pretrained_lp,approx_forward_flops_per_sample,0,,
future_burstiness,pretrained_lp,approx_total_flops,0,,
future_burstiness,pretrained_lp,inference_batch_latency_ms,0,,
future_burstiness,pretrained_lp,inference_sample_latency_ms,0,,
future_burstiness,pretrained_lp,parameter_count,0,,
future_burstiness,pretrained_lp,peak_vram_bytes,5,0.0,0.0
future_burstiness,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_burstiness,pretrained_lp,train_total_time_s,5,2.723639007797465,2.404342864156569
future_burstiness,random_init_lp,approx_forward_flops_per_sample,0,,
future_burstiness,random_init_lp,approx_total_flops,0,,
future_burstiness,random_init_lp,inference_batch_latency_ms,0,,
future_burstiness,random_init_lp,inference_sample_latency_ms,0,,
future_burstiness,random_init_lp,parameter_count,0,,
future_burstiness,random_init_lp,peak_vram_bytes,5,0.0,0.0
future_burstiness,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_burstiness,random_init_lp,train_total_time_s,5,6.390060631604865,0.5854126545356331
future_sparsity,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
future_sparsity,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
future_sparsity,fno,inference_batch_latency_ms,5,0.9051100518554449,0.3180199912895936
future_sparsity,fno,inference_sample_latency_ms,5,0.014142344560241327,0.0049690623638999
future_sparsity,fno,parameter_count,5,46345.0,0.0
future_sparsity,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
future_sparsity,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
future_sparsity,fno,train_total_time_s,5,11.074213443603366,1.9814429571213756
future_sparsity,pretrained_lp,approx_forward_flops_per_sample,0,,
future_sparsity,pretrained_lp,approx_total_flops,0,,
future_sparsity,pretrained_lp,inference_batch_latency_ms,0,,
future_sparsity,pretrained_lp,inference_sample_latency_ms,0,,
future_sparsity,pretrained_lp,parameter_count,0,,
future_sparsity,pretrained_lp,peak_vram_bytes,5,0.0,0.0
future_sparsity,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_sparsity,pretrained_lp,train_total_time_s,5,0.7586518194002565,0.15158003456178737
future_sparsity,random_init_lp,approx_forward_flops_per_sample,0,,
future_sparsity,random_init_lp,approx_total_flops,0,,
future_sparsity,random_init_lp,inference_batch_latency_ms,0,,
future_sparsity,random_init_lp,inference_sample_latency_ms,0,,
future_sparsity,random_init_lp,parameter_count,0,,
future_sparsity,random_init_lp,peak_vram_bytes,5,0.0,0.0
future_sparsity,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_sparsity,random_init_lp,train_total_time_s,5,2.1590612239961047,2.5595290708952323
metric_type,fno,approx_forward_flops_per_sample,5,12356880.0,0.0
metric_type,fno,approx_total_flops,5,1771383461760.0,29662915232.132347
metric_type,fno,inference_batch_latency_ms,5,0.9045673040673137,0.3176586827189555
metric_type,fno,inference_sample_latency_ms,5,0.014133864126051776,0.004963416917483679
metric_type,fno,parameter_count,5,46395.0,0.0
metric_type,fno,peak_vram_bytes,5,3280770355.2,25805951.68674229
metric_type,fno,peak_vram_reserved_bytes,5,3622200934.4,26872200.994511437
metric_type,fno,train_total_time_s,5,11.726084393804195,2.351309203253375
metric_type,pretrained_lp,approx_forward_flops_per_sample,0,,
metric_type,pretrained_lp,approx_total_flops,0,,
metric_type,pretrained_lp,inference_batch_latency_ms,0,,
metric_type,pretrained_lp,inference_sample_latency_ms,0,,
metric_type,pretrained_lp,parameter_count,0,,
metric_type,pretrained_lp,peak_vram_bytes,5,0.0,0.0
metric_type,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
metric_type,pretrained_lp,train_total_time_s,5,25.58008768800064,14.340978426743243
metric_type,random_init_lp,approx_forward_flops_per_sample,0,,
metric_type,random_init_lp,approx_total_flops,0,,
metric_type,random_init_lp,inference_batch_latency_ms,0,,
metric_type,random_init_lp,inference_sample_latency_ms,0,,
metric_type,random_init_lp,parameter_count,0,,
metric_type,random_init_lp,peak_vram_bytes,5,0.0,0.0
metric_type,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
metric_type,random_init_lp,train_total_time_s,5,18.201442424801645,5.370036300959835
shift_risk,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
shift_risk,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
shift_risk,fno,inference_batch_latency_ms,5,0.9175166239729151,0.3329021787100332
shift_risk,fno,inference_sample_latency_ms,5,0.014336197249576799,0.005201596542344269
shift_risk,fno,parameter_count,5,46345.0,0.0
shift_risk,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
shift_risk,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
shift_risk,fno,train_total_time_s,5,10.822867853398202,1.827753353937088
shift_risk,pretrained_lp,approx_forward_flops_per_sample,0,,
shift_risk,pretrained_lp,approx_total_flops,0,,
shift_risk,pretrained_lp,inference_batch_latency_ms,0,,
shift_risk,pretrained_lp,inference_sample_latency_ms,0,,
shift_risk,pretrained_lp,parameter_count,0,,
shift_risk,pretrained_lp,peak_vram_bytes,5,0.0,0.0
shift_risk,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
shift_risk,pretrained_lp,train_total_time_s,5,1.6567622472008225,1.9155426855183626
shift_risk,random_init_lp,approx_forward_flops_per_sample,0,,
shift_risk,random_init_lp,approx_total_flops,0,,
shift_risk,random_init_lp,inference_batch_latency_ms,0,,
shift_risk,random_init_lp,inference_sample_latency_ms,0,,
shift_risk,random_init_lp,parameter_count,0,,
shift_risk,random_init_lp,peak_vram_bytes,5,0.0,0.0
shift_risk,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
shift_risk,random_init_lp,train_total_time_s,5,2.840206004597712,2.6736786329988997
